Месяц,Дата,Откуда,Куда,Пересадки/сегменты,Проект/цель,Flight time (мин),Flight time (ч:мин),Комментарий/допущение
Январь,18.01,Алматы,Усть-Каменогорск,Direct,TravelMind (работа),100,1:40,Оценка по среднему ALA-UKK ~1ч35-1ч45
Январь,24.01,Усть-Каменогорск,Алматы,Direct,TravelMind (работа),100,1:40,Оценка по среднему UKK-ALA ~1ч35-1ч45
Февраль,04.02,Алматы,Дубай,Direct,Нетворкинг (работа),285,4:45,Оценка: ALA-DXB ~4:45
Февраль,09.02,Дубай,Алматы,Direct,Нетворкинг (работа),255,4:15,Оценка: DXB-ALA ~4:15
Март,31.03,Алматы,Гуанчжоу,Direct,ГИД (работа),320,5:20,Оценка: ALA-CAN ~5:00-5:30 (взято 5:20)
Апрель,05.04,Гуанчжоу,Алматы,Direct,ГИД (работа),335,5:35,Оценка: CAN-ALA ~5:35
Май,02.05,Алматы,Ушарал,Direct/Seasonal,TravelMind (работа),90,1:30,ОСТАВЛЕНО КАК ЕСТЬ (плейсхолдер)
Май,07.05,Ушарал,Алматы,Direct/Seasonal,TravelMind (работа),90,1:30,ОСТАВЛЕНО КАК ЕСТЬ (плейсхолдер)
Июнь,19.06,Алматы,Астана,Direct,ГИД (работа),105,1:45,Оценка: ALA-NQZ ~1:45
Июнь,27.06,Астана,Алматы,Direct,Кайдзен клуб (работа),105,1:45,Оценка: NQZ-ALA ~1:45
Июль,11.07,Алматы,Стамбул,Direct,Акме (работа),370,6:10,Оценка: ALA-IST ~6:00-6:25 (взято 6:10)
Июль,11.07,Стамбул,Неаполь,Direct,Акме (работа),145,2:25,Оценка: IST-NAP ~2:20-2:25
Июль,20.07,Неаполь,Стамбул,Direct,Акме (работа),145,2:25,Оценка: NAP-IST ~2:20-2:25
Июль,20.07,Стамбул,Алматы,Direct,Акме (работа),320,5:20,Оценка: IST-ALA ~5:15-5:30 (взято 5:20)
Август,10.08,Алматы,Кызылорда,Direct,TravelMind (работа),76,1:16,Оценка по факту рейсов ~1:16
Август,16.08,Кызылорда,Алматы,Direct,TravelMind (работа),76,1:16,Оценка по факту рейсов ~1:16
Сентябрь,10.09,Алматы,Пекин,Direct,Кайдзен клуб (работа),285,4:45,Оценка: ALA-PEK/PKX ~4:40-4:55 (взято 4:45)
Сентябрь,14.09,Пекин,Алматы,Direct,Кайдзен клуб (работа),285,4:45,Оценка: PEK/PKX-ALA ~4:40-4:55 (взято 4:45)
Ноябрь,без даты,Алматы,Карибы (стандарт),Multi-stop,Акме (работа),1105,18:25,СТАНДАРТ: принято как ALA->(hub)->ANU эквивалент air time (плейсхолдер)
Ноябрь,без даты,Карибы (стандарт),Алматы,Multi-stop,Акме (работа),1105,18:25,СТАНДАРТ: обратно симметрично (плейсхолдер)
Ноябрь,18.11,Алматы,Куала-Лумпур,Direct (если доступно),ГИД (работа),485,8:05,Оценка: ALA-KUL ~8:00-8:10 (взято 8:05)
Ноябрь,22.11,Куала-Лумпур,Алматы,Direct (если доступно),ГИД (работа),460,7:40,Оценка: KUL-ALA ~7:40
Декабрь,02.12,Алматы,Дубай,Direct,TravelMind (работа),285,4:45,Оценка: ALA-DXB ~4:45
Декабрь,02.12,Дубай,Сидней,Direct,TravelMind (работа),830,13:50,Оценка: DXB-SYD ~13:30-14:00 (взято 13:50)
Декабрь,11.12,Сидней,Дубай,Direct,TravelMind (работа),860,14:20,Оценка: SYD-DXB ~14:00-14:20 (взято 14:20)
Декабрь,11.12,Дубай,Алматы,Direct,TravelMind (работа),260,4:20,Оценка: DXB-ALA ~4:15-4:20 (взято 4:20)
Осень (опция),без даты,Алматы,Ереван,Direct/1-stop,опция,225,3:45,Плейсхолдер (уточняется при решении)
Осень (опция),без даты,Ереван,Алматы,Direct/1-stop,опция,225,3:45,Плейсхолдер (уточняется при решении)
ИТОГО,,,,,,6866,114:26,
